state_name,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aguascalientes,0,0,0,0,1,0,1,8,8,5,8,15,4
Baja California,0,0,3,0,0,0,2,22,10,0,2,11,0
Baja California Sur,0,0,0,0,0,0,1,8,0,0,0,0,0
Campeche,0,0,0,0,0,0,0,1,5,2,0,0,0
Chiapas,0,0,0,2,0,1,0,4,9,3,6,4,3
Chihuahua,0,3,9,10,24,20,23,30,31,49,34,38,7
Ciudad de Mexico,0,0,0,2,1,4,3,11,1,0,1,0,0
Coahuila,1,1,0,2,5,14,25,16,22,17,15,12,0
Colima,0,0,0,0,0,0,6,14,15,1,13,23,2
Durango,0,0,1,1,20,28,7,3,2,0,0,0,0
Guanajuato,0,12,9,15,6,18,14,24,39,52,23,14,2
Guerrero,0,1,0,0,2,6,7,13,16,29,44,57,11
Hidalgo,0,0,1,1,1,4,0,1,1,3,4,2,0
Jalisco,0,0,0,0,6,7,8,54,36,12,9,5,0
Mexico,0,1,3,3,10,30,48,69,43,71,68,62,14
Michoacan,0,0,0,0,0,2,5,2,10,4,0,3,13
Morelos,0,0,0,1,0,1,3,12,5,1,5,6,1
Nayarit,0,0,0,0,0,0,0,0,0,0,0,0,0
Nuevo Leon,0,1,3,1,39,36,28,18,10,14,4,8,9
Oaxaca,0,0,1,0,1,0,0,1,1,0,0,0,0
Puebla,0,0,0,0,0,2,4,6,13,19,7,16,2
Queretaro,0,0,1,0,0,0,2,4,6,11,8,3,3
Quintana Roo,0,1,2,0,3,1,0,1,0,1,1,1,0
San Luis Potosi,0,0,0,0,0,3,0,1,0,0,0,0,0
Sinaloa,1,10,26,20,53,58,78,120,76,41,98,97,4
Sonora,0,0,2,2,3,2,8,11,8,1,3,3,0
Tabasco,0,0,0,0,1,0,0,0,4,2,0,0,0
Tamaulipas,2,1,0,2,3,15,34,15,47,13,10,0,0
Tlaxcala,0,0,0,0,0,3,3,0,1,0,0,0,0
Veracruz,0,0,0,0,0,5,12,12,24,0,0,0,0
Yucatan,0,2,0,3,0,3,1,5,3,3,1,4,1
Zacatecas,0,0,0,0,0,0,0,1,6,12,11,8,1
