"","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Aguascalientes",0,1424.14166666667,3600,1272,3792,600,312,240,100.558333333334,70.6333333333333,48.3416666666666,53,49.7000000000662
"Baja California",0,0,0,0,0,433.833333333333,8307.40833333333,95.2,129.05,2854.69375000003,124.066666666633,122.933333333267,0
"Baja California Sur",0,0,0,0,0,55418,0,1524,0,2759.9,2162.83333333333,0,0
"Campeche",0,0,4823.31666666667,21152.2083333334,7958.16666666667,6163.625,5737.58333333333,2595.69166666667,46.9166666666667,28.15,29.1472222222554,44.3166666666667,0
"Chiapas",0,0,0,1416,768,312,9192,336,168,480,110.041666666667,143.866666666667,39
"Chihuahua",25850.8416666667,41824.7083333334,35063.1666666667,30407.6666666667,5534.58333333333,3177.53333333333,2338.78333333333,156.633333333333,94.5083333333334,46.9833333333664,48.1833333333333,40.9333333333333,28.4749999999338
"Ciudad de Mexico",0,0,0,888,624,816,1589.99763888889,724.510277777778,273.750833333333,1947.00958333334,505.133333333333,0,0
"Coahuila",0,32092.6416666667,55159.4833333333,49041.7833333333,41023.15,170.183333333333,120,600,150.066666666666,274.75,139.75,264,0
"Colima",0,0,57821.5,16658.5,58.3333333333333,7688,471.333333333333,151.408333333334,50.925,46.3333333333996,58.4333333333333,56.4166666666667,25.5
"Durango",0,170.75,80.15,216.166666666667,168.225,300,105.4,138.283333333333,196.483333333333,152.974999999967,42.4833333333333,49.2666666666667,54.9333333333333
"Guanajuato",120,96,96,102.266666666667,97.5,144,103,76.3333333333333,54,33.8109722221891,72.1202777777777,969.1575,809.826944444412
"Guerrero",0,414.5,47317,8712.5,1152,264,840,299,262.583333333333,94.7833333333333,250.433333333267,94.0333333333002,37.4333333333333
"Hidalgo",0,3867.16666666667,1658.5,25816.3333333333,9399.375,2568.33333333333,365,80.175,79.4333333333333,201.7083333333,209.124999999967,393.1416666667,0
"Jalisco",0,70727.1666666667,60522.4666666667,44965.6416666666,41065,32110.8333333333,18887.4,7089.5,1986,3651.33333333333,4036.00000000007,2717.41666666667,0
"Mexico",31274.8166666667,50040,864,972,840,820.921527777778,657.356388888889,530.932083333333,3623.57638888889,2762.34666666673,2557.49916666666,2064.79111111111,814.899166666667
"Michoacan",0,47472,20460,30960,23544,1512,1416,456,404,267.901388888823,726.52513888889,23.5833333333333,28.9166666666667
"Morelos",0,0,0,960,648,180,217.666666666667,127.483333333333,357.658333333334,9482.83333333333,2274.04166666667,1428.25833333334,817.5
"Nayarit",0,0,0,2,125,0,23,2513.5,47.6222222222222,146.500277777745,0,0,0
"Nuevo Leon",0,60,24,72,0,0,0,5.5,24,24,0,0,0
"Oaxaca",0,133,71,25321.7916666667,17874.4583333334,6819.5,2352.20833333333,213.191666666666,1176.25,122.333333333333,0,0,0
"Puebla",0,34.775,30433.8666666667,16474.2833333333,15105.0666666667,880.283333333333,921.333333333333,551.35,463.383333333333,299.466666666733,121.433333333267,238.25,133.333333333333
"Queretaro",0,43864.5666666667,39696.3,34718.075,18240.9166666667,10188.8916666667,2411.74166666666,2712,2010.5,1920,1526.0833333333,1341.2,892.05
"Quintana Roo",0,77.7333333333333,94.6416666666667,70.2,120.708333333333,154.466666666667,109.708333333333,122.233333333333,97.7166666666667,97.1916666666336,49,56.5833333333333,34.3000000000331
"San Luis Potosi",0,0,0,198.343888888889,0,288,52.2833333333333,192,389.133333333333,671.5833333334,0,24.7833333332671,0
"Sinaloa",793.456805555555,480,480,480,480,480,480,480,68.8833333333333,51.0249999999669,46.1833333333334,47.4916666666666,40.5
"Sonora",0,95,638,312,587,424,163.5,117.5,408,216,97.8680555556218,101.405,226.6391666666
"Tabasco",0,124.383333333333,501.933333333333,143.45,260.5,132,232.266666666667,48,26.5,50.8166666666666,158,0,0
"Tamaulipas",44.01625,364.53625,3329.48666666667,79.425,146.116666666667,72,96,96,51.4583333333333,120,48,0,0
"Tlaxcala",0,0,1133.16666666667,0,0,1779.51666666667,1681,249.941666666666,1406.16666666667,6086.5833333333,0,95.6166666666667,0
"Veracruz",0,435.358333333333,6312,10,4488,480,408,100.5,96,6120,0,0,0
"Yucatan",0,15404.6666666666,4704.83333333333,1066.45833333333,937.433333333333,4970.16666666667,313,282.316666666666,314.416666666667,1007.28333333333,750,367.25,270.75
"Zacatecas",0,0,0,0,0,450.5,1697.5,176.966666666667,153.666666666667,94.9166666666667,289.183333333333,62.0916666667329,85.3166666666665
